Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6, HSN Code, Second Name
"Mini laptop Samsung n150, 250 HD, 1.6 PROCESADOR, 1 GB RAM, CAMARA, WIFI, OTROS",A002,,,C01,U001,U001,U001,1,10500,0,,Inclusivo,no_image.png,,,,,,,,,,
BATERIA RECARGABLE PARA CELL 8000 MAP,A003,,,C01,U001,U001,U001,1,1000,0,,Inclusivo,no_image.png,,,,,,,,,,
"MEMORIA MICRO SD 4GB, KINGSTON",A004,,,C01,U001,U001,U001,1,305,0,,Inclusivo,no_image.png,,,,,,,,,,
MEMORIA MICRO SD 8GB KINGSTON,A005,,,C01,U001,U001,U001,1,425,0,,Inclusivo,no_image.png,,,,,,,,,,
MEMORIA MICRO SD16GB KINGSTON,A006,,,C01,U001,U001,U001,1,750,0,,Inclusivo,no_image.png,,,,,,,,,,
MEMORIA USB DE 8 GB KINGSTON,A007,,,C01,U001,U001,U001,1,425,0,,Inclusivo,no_image.png,,,,,,,,,,
MEMORIA USB DE 16GB,A008,,,C01,U001,U001,U001,1,650,0,,Inclusivo,no_image.png,,,,,,,,,,
MEMORIA MICRO SD 8GB SANDISK,A009,,,C01,U001,U001,U001,1,395,0,,Inclusivo,no_image.png,,,,,,,,,,
"MOUSE USB, MYO 3D OPTICAL",A010,,,C01,U001,U001,U001,1,275,0,,Inclusivo,no_image.png,,,,,,,,,,
"MOUSE USB, MYO WIRED",A011,,,C01,U001,U001,U001,1,160,0,,Inclusivo,no_image.png,,,,,,,,,,
"MOUSE USB, SELECTRO",A012,,,C01,U001,U001,U001,1,200,0,,Inclusivo,no_image.png,,,,,,,,,,
"CARTUCHO 122, NEGRO, HP",A013,,,C01,U001,U001,U001,1,770,0,,Inclusivo,no_image.png,,,,,,,,,,
"CARTUCHO HP, COLOR 122",A014,,,C01,U001,U001,U001,1,820,0,,Inclusivo,no_image.png,,,,,,,,,,
"CARTUCHO 210, NEGRO, CANON",A015,,,C01,U001,U001,U001,1,970,0,,Inclusivo,no_image.png,,,,,,,,,,
"CARGADOR PARA LAPTOP GENERICO, AGILER 70 WHAT",A016,,,C01,U001,U001,U001,1,1250,0,,Inclusivo,no_image.png,,,,,,,,,,
"BOCINA USB, MYO, SPEAKER 2.0",A017,,,C01,U001,U001,U001,1,275,0,,Inclusivo,no_image.png,,,,,,,,,,
"BOCINA USB, DELL",A018,,,C01,U001,U001,U001,1,350,0,,Inclusivo,no_image.png,,,,,,,,,,
"CABLE DE AUDIO, RCA A 3.5, OHP AUDIO",A021,,,C01,U001,U001,U001,1,70,0,,Inclusivo,no_image.png,,,,,,,,,,
"AURICULARES, ARGON, TECH",A022,,,C01,U001,U001,U001,1,260,0,,Inclusivo,no_image.png,,,,,,,,,,
"REGLETA, FORZAR POWERT",A023,,,C01,U001,U001,U001,1,185,0,,Inclusivo,no_image.png,,,,,,,,,,
"AUDIFONOS, XTECH",A024,,,C01,U001,U001,U001,1,185,0,,Inclusivo,no_image.png,,,,,,,,,,
"ADACTADOR DE IDE A SATA, AGILER",A025,,,C01,U001,U001,U001,1,475,0,,Inclusivo,no_image.png,,,,,,,,,,
"ADACTADOR USB A PSD, GENERICO",A026,,,C01,U001,U001,U001,1,250,0,,Inclusivo,no_image.png,,,,,,,,,,
"CABLE DE IMPRESORA, GENERICO",A027,,,C01,U001,U001,U001,1,50,0,,Inclusivo,no_image.png,,,,,,,,,,
"CABLE SATA, WASH",A028,,,C01,U001,U001,U001,1,60,0,,Inclusivo,no_image.png,,,,,,,,,,
"CABLE IDE, GENERICO",A029,,,C01,U001,U001,U001,1,50,0,,Inclusivo,no_image.png,,,,,,,,,,
"CABLE RSA, WASH",A030,,,C01,U001,U001,U001,1,180,0,,Inclusivo,no_image.png,,,,,,,,,,
"CABLE HDMI, GRANDE, GENERICO",A031,,,C01,U001,U001,U001,1,325,0,,Inclusivo,no_image.png,,,,,,,,,,
"EXTENCION USB 10 PIES, AGILER",A032,,,C01,U001,U001,U001,1,150,0,,Inclusivo,no_image.png,,,,,,,,,,
"ADAPTADOR DE IDE A SATA, GENERICO",A033,,,C01,U001,U001,U001,1,65,0,,Inclusivo,no_image.png,,,,,,,,,,
"CABLE DE AUDIO DE 3.5 A 3.5, N. A",A034,,,C01,U001,U001,U001,1,65,0,,Inclusivo,no_image.png,,,,,,,,,,
"ADAPTADOR BGA 2 EN 1, GENERICO",A035,,,C01,U001,U001,U001,1,250,0,,Inclusivo,no_image.png,,,,,,,,,,
"CABLE DVI, GENERICO",A036,,,C01,U001,U001,U001,1,275,0,,Inclusivo,no_image.png,,,,,,,,,,
"CABLE SERIAL, GENERICO",A037,,,C01,U001,U001,U001,1,250,0,,Inclusivo,no_image.png,,,,,,,,,,
"CABLE DE CARGADOR DE 2 LINEAS, XTREME WIH BUZZER",A038,,,C01,U001,U001,U001,1,75,0,,Inclusivo,no_image.png,,,,,,,,,,
"CABLE PARA CARGADOR DELL, WASH",A039,,,C01,U001,U001,U001,1,170,0,,Inclusivo,no_image.png,,,,,,,,,,
"SISTEMA DE TINTA, GENERICO",A040,,,C01,U001,U001,U001,1,900,0,,Inclusivo,no_image.png,,,,,,,,,,
"GOMITAS PARA SISTEMAS DE TINTAS, GENERICO",A041,,,C01,U001,U001,U001,1,15,0,,Inclusivo,no_image.png,,,,,,,,,,
"PALITOS PARA SISTEM,A DE TINTAS, GENERICO",A042,,,C01,U001,U001,U001,1,15,0,,Inclusivo,no_image.png,,,,,,,,,,
"SISTEMA DE TINTA, GENERICO",A043,,,C01,U001,U001,U001,1,550,0,,Inclusivo,no_image.png,,,,,,,,,,
WINDOW DOOR ALARM (ALARMA),A044,,,C01,U001,U001,U001,1,275,0,,Inclusivo,no_image.png,,,,,,,,,,
"IMEXX, LAMPARA USB",A045,,,C01,U001,U001,U001,1,275,0,,Inclusivo,no_image.png,,,,,,,,,,
"WASH, RAQUE",A046,,,C01,U001,U001,U001,1,550,0,,Inclusivo,no_image.png,,,,,,,,,,
"AGILER, COMBERTIDOR DE RED USB",A047,,,C01,U001,U001,U001,1,475,0,,Inclusivo,no_image.png,,,,,,,,,,
"AGILER, COMBERTIDOR DE AUDIO",A048,,,C01,U001,U001,U001,1,380,0,,Inclusivo,no_image.png,,,,,,,,,,
"MICROFONO GENIUS HANDS FREE, DE CUELLO",A049,,,C01,U001,U001,U001,1,250,0,,Inclusivo,no_image.png,,,,,,,,,,
"ARGON TECH, FUENTE DEL CARGADOR",A050,,,C01,U001,U001,U001,1,175,0,,Inclusivo,no_image.png,,,,,,,,,,
"WASH, CAMARA DE PC",A051,,,C01,U001,U001,U001,1,450,0,,Inclusivo,no_image.png,,,,,,,,,,
"CABLE VGA, JINCAIKEXUN",A052,,,C01,U001,U001,U001,1,230,0,,Inclusivo,no_image.png,,,,,,,,,,
"MULTIMETRO, XTREME WITH BUZZER",A053,,,C01,U001,U001,U001,1,250,0,,Inclusivo,no_image.png,,,,,,,,,,
"CAMARA WEB, RIPPA",A054,,,C01,U001,U001,U001,1,530,0,,Inclusivo,no_image.png,,,,,,,,,,
"POWER SUPPLY, MYO, 500W",A055,,,C01,U001,U001,U001,1,660,0,,Inclusivo,no_image.png,,,,,,,,,,
"POWER SUPPLY, INLAND",A056,,,C01,U001,U001,U001,1,650,0,,Inclusivo,no_image.png,,,,,,,,,,
SWISH TP_LINK 5 PORT,A057,,,C01,U001,U001,U001,1,600,0,,Inclusivo,no_image.png,,,,,,,,,,
"CABLE AUDIO KLIP PARA MP3, IPOD 1 ENTRADA 2 SALIDA",A058,,,C01,U001,U001,U001,1,250,0,,Inclusivo,no_image.png,,,,,,,,,,
"POWER ENERGY, PILA RECARGABLE",A059,,,C01,U001,U001,U001,1,150,0,,Inclusivo,no_image.png,,,,,,,,,,
"DANASONY, PILA RECARGABLE",A060,,,C01,U001,U001,U001,1,40,0,,Inclusivo,no_image.png,,,,,,,,,,
"ABANICO, AGILER",A061,,,C01,U001,U001,U001,1,250,0,,Inclusivo,no_image.png,,,,,,,,,,
"DELUA, CAJA DE HERRAMIENTAS",A062,,,C01,U001,U001,U001,1,650,0,,Inclusivo,no_image.png,,,,,,,,,,
ROUTER TP-LINK  WIFI 150 MB,A063,,,C01,U001,U001,U001,1,1200,0,,Inclusivo,no_image.png,,,,,,,,,,
"SISTEMA DE TINTA, GENERICO",A064,,,C01,U001,U001,U001,1,550,0,,Inclusivo,no_image.png,,,,,,,,,,
"UNITEP, SINTA PARA IMPRESORA",A065,,,C01,U001,U001,U001,1,70,0,,Inclusivo,no_image.png,,,,,,,,,,
"SWISH, NEXXT 8 PORT",A066,,,C01,U001,U001,U001,1,650,0,,Inclusivo,no_image.png,,,,,,,,,,
"ADAPTADOR DE RED, UNION DE RED, GENERICO",A067,,,C01,U001,U001,U001,1,125,0,,Inclusivo,no_image.png,,,,,,,,,,
"BULTO DE LAPTOP, GENERICO",A068,,,C01,U001,U001,U001,1,850,0,,Inclusivo,no_image.png,,,,,,,,,,
"COBER DE LAPTOP DE MANO, GENERICO",A069,,,C01,U001,U001,U001,1,550,0,,Inclusivo,no_image.png,,,,,,,,,,
"COBER DE LAPTOP, GENERICO",A070,,,C01,U001,U001,U001,1,440,0,,Inclusivo,no_image.png,,,,,,,,,,
"COBER DE LAPTOP, GENERICO",A071,,,C01,U001,U001,U001,1,340,0,,Inclusivo,no_image.png,,,,,,,,,,
"PILA, MAXELL",A072,,,C01,U001,U001,U001,1,60,0,,Inclusivo,no_image.png,,,,,,,,,,
"PILA, MOTOMA",A073,,,C01,U001,U001,U001,1,60,0,,Inclusivo,no_image.png,,,,,,,,,,
"LAPTOP, HP ELITEBOOK I7",A074,,,C01,U001,U001,U001,1,17500,0,,Inclusivo,no_image.png,,,,,,,,,,
"LAPTOP DELL CORE I5, 300GB,3GB,WIFI,CAM,OTROS",A075,,,C01,U001,U001,U001,1,17400,0,,Inclusivo,no_image.png,,,,,,,,,,
"LAPTOP, FUJITSU",A076,,,C01,U001,U001,U001,1,6500,0,,Inclusivo,no_image.png,,,,,,,,,,
"LAPTOP, ZTE",A077,,,C01,U001,U001,U001,1,5700,0,,Inclusivo,no_image.png,,,,,,,,,,
"MINI LAPTOP SAMSUNG, 250GB, IGB, CAMARA, WI-FI, OTROS",A078,,,C01,U001,U001,U001,1,10500,0,,Inclusivo,no_image.png,,,,,,,,,,
"TARJETA GRAFICA, ATI RADEON 9250, 128 MB",A079,,,C01,U001,U001,U001,1,1000,0,,Inclusivo,no_image.png,,,,,,,,,,
"TARJETA GRAFICA, GEFORCE",A080,,,C01,U001,U001,U001,1,2250,0,,Inclusivo,no_image.png,,,,,,,,,,
"TARJETA DE RED, ENCARED",A081,,,C01,U001,U001,U001,1,370,0,,Inclusivo,no_image.png,,,,,,,,,,
"COMBO TECLADO Y MOUSE  INALAMBRICO, MICROSOFT",A082,,,C01,U001,U001,U001,1,1300,0,,Inclusivo,no_image.png,,,,,,,,,,
"CARTUCHO, NEGRO",A083,,,C01,U001,U001,U001,1,825,0,,Inclusivo,no_image.png,,,,,,,,,,
CARTUCHO A COLOR,A084,,,C01,U001,U001,U001,1,925,0,,Inclusivo,no_image.png,,,,,,,,,,
"CPU HP DC7600, 3.0 GHZ, 4 GB, 80 HD, DVD/CD-RW",A085,,,C01,U001,U001,U001,1,6500,0,,Inclusivo,no_image.png,,,,,,,,,,
MONITOR DELL 15 PULG NEGRO,A086,,,C01,U001,U001,U001,1,2800,0,,Inclusivo,no_image.png,,,,,,,,,,
TECLADO XTECX GENERICO,A087,,,C01,U001,U001,U001,1,250,0,,Inclusivo,no_image.png,,,,,,,,,,
MESA CON TOPE OMEGA,A088,,,C01,U001,U001,U001,1,1200,0,,Inclusivo,no_image.png,,,,,,,,,,
BOCINA MYO SUBWOOFER 2.1,A089,,,C01,U001,U001,U001,1,1250,0,,Inclusivo,no_image.png,,,,,,,,,,
"CPU HP, DUAL CORE 1.8-2.2, MEMORIA 1GB, DISCO DURO 80GB.",A091,,,C01,U001,U001,U001,1,4500,0,,Inclusivo,no_image.png,,,,,,,,,,
"HTC one x, 1.5 ghz, 1 ram, 8 mp",A092,,,C01,U001,U001,U001,1,7000,0,,Inclusivo,no_image.png,,,,,,,,,,
"CPU DELL GX150, P3 1.0GHZ, 20GB, 256RAM, CD-ROM",A093,,,C01,U001,U001,U001,1,1600,0,,Inclusivo,no_image.png,,,,,,,,,,
"CPU HP DC5700, 1.8 DUAL CORE, 1GB, 80HDD, DVDRW",A094,,,C01,U001,U001,U001,1,4200,0,,Inclusivo,no_image.png,,,,,,,,,,
MONITOR DEL 22 PULG.,A096,,,C01,U001,U001,U001,1,4500,0,,Inclusivo,no_image.png,,,,,,,,,,
MONITOR DELL 20 PUL.,A097,,,C01,U001,U001,U001,1,4500,0,,Inclusivo,no_image.png,,,,,,,,,,
MONITOR HP 17 PULG.,A098,,,C01,U001,U001,U001,1,2600,0,,Inclusivo,no_image.png,,,,,,,,,,
MONITOR DELL 15 PULG.,A100,,,C01,U001,U001,U001,1,1300,0,,Inclusivo,no_image.png,,,,,,,,,,
MONITOR STAPLES 17 PULG.,A101,,,C01,U001,U001,U001,1,2700,0,,Inclusivo,no_image.png,,,,,,,,,,
MONITOR MAE 17 PULG.,A102,,,C01,U001,U001,U001,1,2300,0,,Inclusivo,no_image.png,,,,,,,,,,
MONITOR MAE 15 PULG.,A103,,,C01,U001,U001,U001,1,2300,0,,Inclusivo,no_image.png,,,,,,,,,,
MONITOR SAMSUNG 17 PUL.,A104,,,C01,U001,U001,U001,1,2900,0,,Inclusivo,no_image.png,,,,,,,,,,
MONITOR HP 17 PULG.,A105,,,C01,U001,U001,U001,1,2600,0,,Inclusivo,no_image.png,,,,,,,,,,
MONITOR GATEWAY,A106,,,C01,U001,U001,U001,1,2000,0,,Inclusivo,no_image.png,,,,,,,,,,
"CPU DELL GX260, P 4, 2.6, 40GB, 512RAM, DVD/CDRW",A107,,,C01,U001,U001,U001,1,3000,0,,Inclusivo,no_image.png,,,,,,,,,,
"CPU DELL GX250, P4, 2.2, 40HDD, 512RAM, CD-ROM",A108,,,C01,U001,U001,U001,1,2700,0,,Inclusivo,no_image.png,,,,,,,,,,
"CPU DELL MINI DESTOPGX260, P4 1.8, 40HDD, 512RAM",A109,,,C01,U001,U001,U001,1,2400,0,,Inclusivo,no_image.png,,,,,,,,,,
"CPU DELL GX240, P4 2.0, 80HDD, 1RAM, CDRW",A110,,,C01,U001,U001,U001,1,2600,0,,Inclusivo,no_image.png,,,,,,,,,,
"CPU DELL DIMENSION 4550, P4 2.6, 40HDD, 512RAM",A111,,,C01,U001,U001,U001,1,3000,0,,Inclusivo,no_image.png,,,,,,,,,,
"CPU DELL DIMENSION 2400, P4 2.8 40HDD, 512RAM",A112,,,C01,U001,U001,U001,1,3500,0,,Inclusivo,no_image.png,,,,,,,,,,
"CPU DELL OPTIPLEX GX780L, 160 HDD, 2 GB RAM, CDROM",A113,,,C01,U001,U001,U001,1,4500,0,,Inclusivo,no_image.png,,,,,,,,,,
"CPU DELL GX150, P3 1.2, 20HDD, 512RAM, CDROM",A114,,,C01,U001,U001,U001,1,2000,0,,Inclusivo,no_image.png,,,,,,,,,,
"CPU DELL GX260/240, P4 1.8, 40HDD, 512RAM, DVD",A115,,,C01,U001,U001,U001,1,2500,0,,Inclusivo,no_image.png,,,,,,,,,,
"CPU EMACHINE AMD 1.8, 40HD, 512RAM, DVDRW",A116,,,C01,U001,U001,U001,1,2500,0,,Inclusivo,no_image.png,,,,,,,,,,
"CPU GATEWAY GT4016, AMD 2.2, 40HD, 512RAM",A117,,,C01,U001,U001,U001,1,2900,0,,Inclusivo,no_image.png,,,,,,,,,,
"CPU CLON GIVOX, 2.0 DUAL CORE, 320HDD, 1GB DDR2, DVDRW",A118,,,C01,U001,U001,U001,1,5500,0,,Inclusivo,no_image.png,,,,,,,,,,
"CPU CLON P4 2.6, 40HDD, 2.5 RAM, DVD",A119,,,C01,U001,U001,U001,1,5000,0,,Inclusivo,no_image.png,,,,,,,,,,
"CPU HP PAVILION 533W, P3 1.0, 20HDD, 256RAM, CDROM",A120,,,C01,U001,U001,U001,1,1500,0,,Inclusivo,no_image.png,,,,,,,,,,
"CPU E-BYTE CLON, INTEL 3.0, 40HDD, 1GB RAM, DVDRW",A121,,,C01,U001,U001,U001,1,4100,0,,Inclusivo,no_image.png,,,,,,,,,,
"TECLADO MYO, USB",A122,,,C01,U001,U001,U001,1,270,0,,Inclusivo,no_image.png,,,,,,,,,,
SERVICIO A DOMICILIO CENTRO CIUDAD,A123,,,C01,U001,U001,U001,1,300,0,,Inclusivo,no_image.png,,,,,,,,,,
RELLENADO DE CARTUCHO NEGRO,A124,,,C01,U001,U001,U001,1,200,0,,Inclusivo,no_image.png,,,,,,,,,,
RELLENADO DE CARTUCHO A COLOR,A125,,,C01,U001,U001,U001,1,200,0,,Inclusivo,no_image.png,,,,,,,,,,
CHEQUEO DE INTERNET CON SOLUSION,A126,,,C01,U001,U001,U001,1,400,0,,Inclusivo,no_image.png,,,,,,,,,,
"DISCO DURO 80GB, HITACHI",A127,,,C01,U001,U001,U001,1,1000,0,,Inclusivo,no_image.png,,,,,,,,,,
"DISCO DURO 160GB, HITACHI",A128,,,C01,U001,U001,U001,1,1500,0,,Inclusivo,no_image.png,,,,,,,,,,
"DISCO DURO 500GB, SEAGASTE",A129,,,C01,U001,U001,U001,1,3000,0,,Inclusivo,no_image.png,,,,,,,,,,
"DISCO DURO 160GB, SAMSUNG",A130,,,C01,U001,U001,U001,1,1500,0,,Inclusivo,no_image.png,,,,,,,,,,
"DISCO DURO 120GB, SAMSUNG",A131,,,C01,U001,U001,U001,1,1300,0,,Inclusivo,no_image.png,,,,,,,,,,
"DISCO DURO 250GB, SAMSUNG",A132,,,C01,U001,U001,U001,1,2200,0,,Inclusivo,no_image.png,,,,,,,,,,
"DISCO DURO 160GB,TOSHIBA",A133,,,C01,U001,U001,U001,1,1500,0,,Inclusivo,no_image.png,,,,,,,,,,
"DISCO DURO 250GB, SATA, SEAGASTE, PARA PC",A134,,,C01,U001,U001,U001,1,2000,0,,Inclusivo,no_image.png,,,,,,,,,,
"DISCO DURO 80GB, IDE,  PARA LAPTOP",A135,,,C01,U001,U001,U001,1,1200,0,,Inclusivo,no_image.png,,,,,,,,,,
"DISCO DURO 160GB, IDE, WD, PARA PC",A136,,,C01,U001,U001,U001,1,1300,0,,Inclusivo,no_image.png,,,,,,,,,,
"DISCO DURO 400GB, IDE, WD, PARA PC",A137,,,C01,U001,U001,U001,1,600,0,,Inclusivo,no_image.png,,,,,,,,,,
"DISCO DURO 80GB, SATA, SEAGASTE, PARA PC",A138,,,C01,U001,U001,U001,1,1000,0,,Inclusivo,no_image.png,,,,,,,,,,
"TARJETA DE SONIDO Y MICROFONO USB, BLANCO",A139,,,C01,U001,U001,U001,1,350,0,,Inclusivo,no_image.png,,,,,,,,,,
"TARJETA DE SONIDO USB, PARA LAPTOP GENERICA",A140,,,C01,U001,U001,U001,1,250,0,,Inclusivo,no_image.png,,,,,,,,,,
CABLE USB PARA IPHONE 4,A141,,,C01,U001,U001,U001,1,175,0,,Inclusivo,no_image.png,,,,,,,,,,
USB PARA CELL 3 EN 1,A142,,,C01,U001,U001,U001,1,150,0,,Inclusivo,no_image.png,,,,,,,,,,
FUENTE PARA CARGADORES DE CELL,A143,,,C01,U001,U001,U001,1,125,0,,Inclusivo,no_image.png,,,,,,,,,,
RAQUE USB 2.0/CAJA SATA USB PARA LAPTOP,A144,,,C01,U001,U001,U001,1,400,0,,Inclusivo,no_image.png,,,,,,,,,,
ABANICO DE ENFRIAMIENTOPARA LAPTOP,A145,code25,,C01,U001,U001,U001,1,300,0,,Inclusivo,no_image.png,,,,,,,,,,
CABLE USB PARA CELL SAMSUNG,A146,,,C01,U001,U001,U001,1,200,0,,Inclusivo,no_image.png,,,,,,,,,,
FUENTE DE CELL PARA CARRO,A147,,,C01,U001,U001,U001,1,150,0,,Inclusivo,no_image.png,,,,,,,,,,
CARD READER 4 EN 1 USB 2.0 BLANCOI,A148,,,C01,U001,U001,U001,1,150,0,,Inclusivo,no_image.png,,,,,,,,,,
TARJETA DE TELEVISION PARA LAPTOP,A149,,,C01,U001,U001,U001,1,300,0,,Inclusivo,no_image.png,,,,,,,,,,
MINI USB WI-FI,A150,,,C01,U001,U001,U001,1,150,0,,Inclusivo,no_image.png,,,,,,,,,,
DVD ROM/RW USB 2.0,A151,,,C01,U001,U001,U001,1,1000,0,,Inclusivo,no_image.png,,,,,,,,,,
"LECTORES MICRO SD, HP",A152,,,C01,U001,U001,U001,1,125,0,,Inclusivo,no_image.png,,,,,,,,,,
"MICRO SD, HD, MINI CARD READER",A153,,,C01,U001,U001,U001,1,250,0,,Inclusivo,no_image.png,,,,,,,,,,
"MINI SD SANDISK, 256MB",A154,,,C01,U001,U001,U001,1,125,0,,Inclusivo,no_image.png,,,,,,,,,,
